date,action,persons,sub-category,category,memo,remarks
2017-04-19,용인환경정의 홈페이지 제작 계약,,제작,홈페이지,,
2017-04-20,공동육아와공동체교육 ,,유지보수,홈페이지,,
2017-04-24,배리어프리영화위원회 서버 점검,,서버관리,IT인프라,,
2017-04-24,"깃헙에 조합 문서 생성(정관, 규약 등)",,활성화,조직,"홍영택, https://docs.ictact.kr",
2017-04-25,한겨레두레 서버 작업,,서버관리,IT인프라,,
2017-04-27,건설노조 홈페이지 기획 간담회,,제작,홈페이지,,
2017-04-27,은평노동자컴퓨터교실 11기 #1,,교육,지역,,
2017-05-03,민족문제연구소 홈페이지 오류 수정,,유지보수,홈페이지,,
2017-05-10,처음엑셀회계 2.0 미팅 (사경센터 자치회),,교육,처음엑셀회계,,
2017-05-10,사무실 이사 (50+캠퍼스 3층),,설립,조직,,
2017-05-11,은평노동자컴퓨터교실 11기 #3,,교육,지역,,
2017-05-12,사회적협동조합 설립인가 취득 (미래부),,설립,조직,,
2017-05-12,사회복지법인 윙 홈페이지 개편 상담,,문의상담,홈페이지,,
2017-05-16,중부 50+ IT유지보수교육 (네트워크),,교육,조직,,
2017-05-19,우리동생 PC정비,"지각생, 에뭉이",PC정비,IT인프라,,
2017-05-23,보람일자리 사업 대상 단체 선정,,보람일자리,IT인프라,,
2017-05-24,서울혁신파크관리소 근태관리시스템 교육,,교육,IT인프라,,
2017-05-24,민족문제연구소 방문 교육,,교육,IT인프라,,
2017-05-25,리빙랩 컨소시엄 협약(라임프렌즈),,운영,조직,,
2017-05-25,우리교육 서버 점검,,서버관리,IT인프라,,
2017-05-29,청미래재단 PC정비,지각생,PC정비,IT인프라,,
2017-05-29,우리교육 서버 점검,,서버관리,IT인프라,,
2017-05-30,중부 50+ IT유지보수교육 (네트워크),,교육,조직,,
2017-05-31,한겨레두레 방문,,서버관리,IT인프라,,
2017-05-31,진관지역아동센터 PC정비,,SC다빈,IT인프라,,
2017-05-31,은광지역아동센터 PC정비,,SC다빈,IT인프라,,
2017-06-05,진관지역아동센터 SSD 설치,,,IT인프라,,
2017-06-12,총회의사록 공증,,설립,조직,,
2017-06-12,설립신고 / 등록면허세납부(은평구청),,설립,조직,,
2017-06-12,설립등기(은평등기소),,설립,조직,,
2017-06-13,중부 50+ IT유지보수교육 (네트워크),,교육,조직,,
2017-06-15,지역재단 홈페이지 개편 상담,,제작,홈페이지,,
2017-06-20,설립등기 서류 보완 완료,,설립,조직,,
2017-06-21,사업자등록 신청,,설립,조직,,
2017-06-22,지역재단 홈페이지 개편 논의,,제작,홈페이지,,
2017-06-23,군포요양센터 PC정비,,SC다빈,IT인프라,,
2017-06-26,사업자등록 완료,,설립,조직,세무서 담당자 휴가로 5일 소요,
2017-06-27,첫 통장 개설,,설립,조직,,
2017-06-29,조계종사회복지재단 - SC다빈 2017 협의,,SC다빈,IT인프라,,
2017-06-29,은평노동자컴퓨터교실 11기 졸업식,,교육,조직,,
2017-06-30,6월조합원모임/교육,,조합원모임,조직,,
2017-07-04,"드루팔 교육 : 낙타, 한용재",,역량강화,조직,,
2017-07-05,슬랙 #사무국 채널 개설,,활성화,조직,,
2017-07-06,보람일자리사업 기획회의,,보람일자리,IT인프라,,
2017-07-06,협동조합 경영전략아카데미 참석,,역량강화,조직,,
2017-07-11,쪼물왕국지역아동센터 PC정비,,보람일자리,IT인프라,,
2017-07-11,슬랙 #웹제작 채널 개설,,활성화,조직,,
2017-07-12,방학동밀알데이케어센터 PC정비,,보람일자리,IT인프라,,
2017-07-13,너나울도서관 PC정비,,보람일자리,IT인프라,,
2017-07-13,ASK/에이지솔루션 홈페이지 제작 상담,,제작,홈페이지,,
2017-07-13,휴리독스 미팅,지각생,조직확대,조직,,
2017-07-14,전북대안언론 참소리 홈페이지 개편 상담,,제작,홈페이지,"지각생, 홍영택",
2017-07-14,지역재단 워크숍 참석(전주),,조직확대,조직,"지각생, 홍영택 (김영림)",
2017-07-18,공동육아 홈페이지 개편 논의,,제작,홈페이지,"류자현, 지각생, 홍영택",
2017-07-19,우리궁궐길라잡이 홈페이지 개편 상담,,제작,홈페이지,,
2017-07-19,구로아동청소년네트워크 <함께> PC정비,,보람일자리,IT인프라,,
2017-07-19,푸른나눔 PC정비,,보람일자리,IT인프라,,
2017-07-19,신나는조합 상담 : 사회적협동조합 운영,,운영,조직,,
2017-07-19,여성환경연대 홈페이지 유지보수 논의,"정영찬, 지각생",유지보수,홈페이지,,
2017-07-20,지역아동센터 평화만들기 PC정비,,보람일자리,IT인프라,,
2017-07-20,너나울도서관 PC정비,,보람일자리,IT인프라,,
2017-07-25,공동육아 교사 PPT교육 미팅,지각생,교육,조직,,
2017-07-26,구로행복한지역아동센터 PC정비,,보람일자리,IT인프라,,
2017-07-26,이주노동희망센터 PC정비,태공,보람일자리,IT인프라,,
2017-07-27,SC다빈 인천,에뭉이,SC다빈,IT인프라,,
2017-07-28,7월 조합원모임,,조합원모임,조직,,
2017-07-31,고두석 네트워크 설정 원격지원,지각생,,IT인프라,,
2017-08-01,메디피스 PC정비,,보람일자리,IT인프라,,
2017-08-02,구로복지센터 PC정비,,보람일자리,IT인프라,,
2017-08-02,청미래재단 네트워크 정비,에뭉이,,IT인프라,,
2017-08-02,사회적경제지원센터 PC정비,에뭉이,,IT인프라,,
2017-08-03,누구나데이터 업무 협의,,역량강화,조직,"김자유, 류자현, 정인국, 지각생, 한용재",
2017-08-03,프렌드아시아 PC정비,,,IT인프라,,
2017-08-03,도봉동 노인복지센터 PC정비,,보람일자리,IT인프라,,
2017-08-04,슬랙 #데이터분석 채널 생성,,활성화,조직,,
2017-08-04,프렌드아시아 PC정비,,,IT인프라,,
2017-08-07,너나울도서관 PC정비,,보람일자리,IT인프라,,
2017-08-07,금융결제원 CMS 실사,지각생,설립,조직,,
2017-08-08,도봉노인복지센터 PC정비,,보람일자리,IT인프라,,
2017-08-08,함께 걷는 아이들 PC정비,,보람일자리,IT인프라,,
2017-08-09,슬랙 #lab 채널 개설,,활성화,조직,홍영택,
2017-08-09,예술과마음 PC정비,,보람일자리,IT인프라,,
2017-08-09,링크 PC정비,,보람일자리,IT인프라,,
2017-08-10,참여연대 PC정비,,보람일자리,IT인프라,,
2017-08-10,공동육아 교사 PPT교육,"정인국, 한용재",교육,조직,,
2017-08-11,행복도서관 PC정비,,보람일자리,IT인프라,,
2017-08-16,청운지역아동복지센터 PC정비,,보람일자리,IT인프라,,
2017-08-16,사단법인 피난처 자유터 PC정비,,보람일자리,IT인프라,,
2017-08-16,함재/SDS 지원사업 신청,"지각생, 태공",운영,조직,,
2017-08-16,충남 4단체 홈페이지 공동제작프로젝트 기획,,제작,홈페이지,,
2017-08-17,민족문제연구소 홈페이지 보안 논의,,보안,홈페이지,,
2017-08-17,이주노동희망센터 PC정비,,보람일자리,IT인프라,,
2017-08-17,사무국 워크숍,,운영,조직,,
2017-08-18,한겨레두레협동조합 PC정비,태공,,IT인프라,,
2017-08-22,중랑재미지역아동센터 PC정비,,보람일자리,IT인프라,,
2017-08-22,메리워드지역아동센터 PC정비,,보람일자리,IT인프라,,
2017-08-22,처음엑셀회계 2.0 발표 / 교육 (관악),태공,교육,처음엑셀회계,"박상준, 지각생, 태공",
2017-08-23,한국여성민우회 PC정비,,보람일자리,IT인프라,,
2017-08-25,8월 조합원모임,,조합원모임,조직,,
2017-08-25,한국노동사회연구소 데이터복구 상담,지각생,문의상담,IT인프라,이선규,
2017-08-28,2017년 3분기 지정기부금단체 추천 요청,지각생,설립,조직,분기별 1회 심사 : 9월 말 결과 나옴,
2017-08-29,보람일자리사업단 네트워크 교육,,보람일자리,IT인프라,,
2017-08-30,구로푸른학교 지역아동센터 PC정비,,보람일자리,IT인프라,,
2017-08-31,SC다빈 송파구립복지센터 PC정비,에뭉이,SC다빈,IT인프라,,
2017-09-01,프렌드아시아 PC정비,에뭉이,PC정비,IT인프라,,
2017-09-04,신용카드 가맹점 가입 완료,지각생,설립,조직,,
2017-09-05,함께하는 사람들 지역아동센터 PC정비,,보람일자리,IT인프라,,
2017-09-05,협동조합아카데미 : 조직운영 및 인사/노무,,역량강화,조직,"류자현, 에뭉이, 지각생",
2017-09-05,함재/SDS 지원사업 실사,지각생,운영,조직,,
2017-09-06,한사랑 지역아동센터 PC정비,,보람일자리,IT인프라,,
2017-09-06,누리지역아동센터 PC정비,,보람일자리,IT인프라,,
2017-09-07,새솜지역아동센터 PC정비,,보람일자리,IT인프라,,
2017-09-07,SC다빈 대상 단체 사전 방문(충남 당진),에뭉이,SC다빈,IT인프라,,
2017-09-08,처음엑셀회계 2.0 미팅(NPO지원센터),지각생,기획,처음엑셀회계,NPO지원센터 기획실장 정란아,
2017-09-08,프로젝트 농부 사이트 오픈,류자현,제작,홈페이지,,
2017-09-11,2017 NPO 파트너 페어 기업참가신청,지각생,조직확대,조직,,
2017-09-12,충남 4단체 홈페이지 공동제작프로젝트 설명회,,제작,홈페이지,"류자현, 지각생",1
2017-09-12,지구촌지역아동센터 PC정비,,보람일자리,IT인프라,,
2017-09-12,강동노인종합복지관 PC정비,,보람일자리,IT인프라,,
2017-09-13,마인드(동대문구) PC정비,,보람일자리,IT인프라,,
2017-09-13,서울시사회적경제지원센터 PC정비,,보람일자리,IT인프라,,
2017-09-14,청운지역아동센터 PC정비,,보람일자리,IT인프라,,
2017-09-15,은펑노동자컴퓨터교실 12기 준비모임,,교육,지역,,
2017-09-18,9월 조합원모임,,,조직,조합원 11명 참가,
2017-09-19,관악 사회적경제 무료 특강 <무비메이커> / 실무역량교육 기획 미팅,,교육,지역,박상준,
2017-09-19,송파복지센터 PC 정비,,보람일자리,IT인프라,,
2017-09-20,한화SC다빈 - 충남당진시립요양원,"에뭉이, 지각생",,IT인프라,,
2017-09-21,참여연대 PC정비,,보람일자리,IT인프라,,
2017-09-21,공동육아와공동체교육 DB 개발작업,지각생,,,,
2017-09-22,2017 NPO 파트너 페어 참가기업 설명회,지각생,조직확대,조직,"정영찬(라임프렌즈), 김자유(누구나데이터) 참가",
2017-09-26,반올림 IT종합상담 1차,지각생,문의상담,IT인프라,,
2017-09-26,은평노동인권센터 도메인 구입 및 설정 지원,지각생,,홈페이지,,
2017-09-26,한겨레두레협동조합 PC 문제 조치,이광우,,IT인프라,전화 상담으로 원격 해결,
2017-09-27,"관악 사회적경제 실무역량교육 1강 - ""내 PC 건강관리""",지각생,교육,지역,,
2017-09-28,서울서북지역 경력단절여성 컴퓨터강사 조직 설립 상담,지각생,문의상담,조직,사단법인 혹은 사협 설립 지원,
2017-09-28,한화SC다빈 - 금오종합사회복지관(구미) 사전 방문,에뭉이,SC다빈,IT인프라,,
2017-09-29,서울여성가족재단 실무교육 3강 - 엑셀,지각생,교육,,,
2017-10-01,2017 NPO 파트너 페어 참가 조합원 협력 회의,"김자유, 정영찬, 지각생, 홍영택",조직확대,조직,,
